,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_question_count,f_i_exclamation_count,f_o_he_she_ratio,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,author
79,0,287,209,0,0,2,1,3,1.0,295,69,295,18,0,8,53,25,0,8,31,3.464,58.2,2.153,40.37,1.408,0.449,0.928,0.811,austen
80,0,294,213,0,0,3,1,0,2.0,300,70,300,23,0,6,48,23,1,11,41,3.543,59.2,2.158,51.046,1.373,0.586,0.929,0.874,chesterton
81,0,85,58,0,0,0,0,0,1.0,94,26,94,6,2,9,20,13,1,3,10,2.885,18.0,2.321,20.149,1.529,0.385,0.808,0.707,shakespeare
82,0,325,239,0,0,2,0,0,3.0,334,75,334,20,0,9,53,24,1,12,40,3.627,66.0,2.235,39.912,1.389,0.533,0.933,0.854,chesterton
83,0,415,310,0,0,3,1,0,1.0,424,97,424,23,0,9,75,24,0,10,49,3.588,84.0,2.423,54.699,1.448,0.505,0.948,0.851,austen
84,0,36,25,0,0,0,0,0,1.0,41,12,41,3,0,5,10,14,1,0,7,2.75,7.4,1.712,5.639,1.333,0.583,0.583,0.783,shakespeare
85,0,456,357,0,0,0,0,0,1.0,463,100,463,11,0,7,66,23,0,6,42,3.75,91.8,2.076,66.702,1.515,0.42,0.95,0.812,chesterton
86,0,259,195,0,0,0,0,0,1.0,279,59,279,14,0,20,36,21,0,3,29,3.881,55.0,2.594,58.907,1.475,0.492,0.915,0.826,shakespeare
87,0,224,168,0,0,0,2,0,2.0,237,55,237,8,0,13,44,23,0,2,32,3.436,46.6,1.73,65.006,1.25,0.582,0.909,0.865,shakespeare
88,0,622,467,0,0,2,0,0,1.0,644,140,644,37,0,22,97,23,1,23,68,3.793,128.0,2.454,57.337,1.505,0.486,0.964,0.854,austen
89,0,951,740,0,0,0,0,0,0.5,971,207,971,27,0,20,149,26,0,5,79,3.802,193.4,2.228,130.781,1.816,0.382,0.976,0.819,austen
90,0,404,308,0,0,0,0,0,6.0,410,96,410,10,0,6,71,23,2,7,48,3.375,81.2,2.089,5.404,1.455,0.5,0.948,0.848,chesterton
91,0,321,234,0,0,4,0,1,3.0,328,77,328,22,0,7,57,23,0,11,41,3.519,64.8,1.847,60.214,1.351,0.532,0.935,0.855,chesterton
92,0,501,394,0,0,0,0,0,1.0,506,106,506,13,0,5,75,25,0,2,55,3.896,100.4,2.313,101.36,1.452,0.519,0.953,0.859,chesterton
93,0,412,326,0,0,0,0,1,1.0,418,80,418,15,0,6,56,24,1,5,51,4.338,82.8,2.989,22.073,1.231,0.637,0.938,0.897,austen
94,0,47,33,0,0,0,1,0,1.0,52,14,52,5,0,5,11,15,1,2,9,3.071,9.6,1.859,7.701,1.273,0.643,0.643,0.833,shakespeare
95,0,882,685,0,0,0,0,0,0.2,889,196,889,28,0,7,138,25,0,3,75,3.679,177.0,2.222,32.97,1.832,0.383,0.974,0.818,austen
96,0,216,166,0,0,1,0,1,0.5,223,48,223,8,0,7,34,23,0,4,37,3.812,43.8,2.34,20.142,1.091,0.771,0.896,0.933,austen
97,0,327,250,0,0,0,0,0,1.0,350,77,350,10,0,23,55,23,0,6,46,3.675,69.2,2.016,76.49,1.242,0.597,0.935,0.881,shakespeare
98,0,186,137,0,0,0,0,4,1.0,193,46,193,11,0,7,31,23,3,7,29,3.391,37.8,1.994,41.106,1.278,0.63,0.891,0.88,chesterton
99,0,1212,978,0,0,3,0,0,2.0,1252,227,1252,30,0,40,126,27,1,14,116,4.643,249.6,3.021,138.789,1.544,0.511,0.978,0.876,chesterton
100,0,348,255,0,0,2,0,1,1.0,360,87,360,21,0,12,71,24,1,10,45,3.368,71.2,1.881,63.251,1.426,0.517,0.943,0.852,austen
101,1,323,254,0,0,0,0,0,1.0,338,68,338,9,0,15,44,24,0,5,41,4.088,66.8,2.526,38.278,1.283,0.603,0.926,0.88,austen
102,0,532,413,0,0,0,0,0,1.0,540,118,540,13,0,8,81,27,0,9,56,3.686,107.2,2.135,80.763,1.494,0.475,0.958,0.844,chesterton
103,0,295,223,0,0,1,0,0,1.5,303,71,303,15,0,8,53,24,2,5,44,3.507,59.8,1.881,42.458,1.268,0.62,0.93,0.888,chesterton
104,0,357,259,0,0,2,1,2,1.0,367,91,367,19,0,10,73,24,1,15,42,3.209,72.6,2.019,56.598,1.517,0.462,0.945,0.829,austen
105,0,215,159,0,0,1,0,0,1.0,221,53,221,10,0,6,42,23,0,8,31,3.358,43.4,2.338,13.465,1.293,0.585,0.906,0.865,austen
106,0,510,397,0,0,0,0,0,3.0,523,107,523,21,0,13,75,26,4,8,54,4.037,103.8,3.084,59.036,1.529,0.505,0.953,0.854,chesterton
107,0,741,591,0,0,2,0,0,1.0,765,143,765,25,0,24,86,25,4,13,77,4.503,152.2,2.904,73.941,1.43,0.538,0.965,0.875,chesterton
108,4,321,246,0,0,1,1,0,2.0,341,73,341,11,0,20,51,25,1,8,53,3.822,67.4,2.434,74.426,1.177,0.726,0.932,0.925,chesterton
109,0,425,326,0,0,2,1,0,1.0,434,95,434,19,0,9,67,24,0,11,59,3.789,86.0,2.492,44.119,1.319,0.621,0.947,0.895,austen
110,0,181,133,0,0,2,0,2,1.0,185,42,185,13,0,4,30,21,0,6,21,3.667,36.2,2.476,19.383,1.312,0.5,0.881,0.815,chesterton
111,0,387,297,0,0,2,0,0,1.0,396,83,396,18,0,9,58,23,0,16,42,3.976,78.4,2.82,27.718,1.509,0.506,0.94,0.846,chesterton
112,0,563,448,0,0,0,0,0,3.0,570,116,570,7,0,7,75,26,0,1,54,3.983,113.2,2.23,82.488,1.526,0.466,0.957,0.839,chesterton
113,0,390,296,0,0,1,0,0,3.0,397,90,397,18,0,7,70,24,1,8,40,3.6,78.6,2.43,29.905,1.475,0.444,0.944,0.82,austen
114,0,542,407,1,0,5,0,0,3.0,553,126,553,32,0,11,93,24,5,16,69,3.651,109.8,2.26,78.229,1.448,0.548,0.96,0.875,chesterton
115,0,324,233,0,0,4,0,0,3.0,334,84,334,23,0,10,68,23,3,12,42,3.262,66.0,1.857,44.221,1.448,0.5,0.94,0.844,chesterton
116,0,586,472,0,0,0,0,0,1.0,598,115,598,10,0,12,71,24,0,2,54,4.296,118.8,2.585,10.159,1.474,0.47,0.957,0.841,chesterton
117,0,292,221,0,0,0,2,0,1.0,304,68,304,15,0,12,52,25,0,3,38,3.647,60.0,2.316,64.969,1.36,0.559,0.926,0.862,shakespeare
118,0,586,447,0,0,5,1,1,1.0,592,130,592,25,0,6,93,23,0,16,58,3.754,117.6,2.472,116.464,1.585,0.446,0.962,0.834,chesterton
119,0,483,377,0,0,1,1,0,1.5,497,100,497,17,0,14,67,25,0,5,62,4.1,98.6,2.389,85.798,1.266,0.62,0.95,0.896,austen
120,0,911,689,0,0,2,1,0,0.75,934,206,934,36,0,23,144,26,1,23,83,3.65,186.0,2.115,231.586,1.675,0.403,0.976,0.829,austen
121,0,449,333,0,0,3,2,0,1.0,461,111,461,23,0,12,85,23,5,16,46,3.378,91.4,1.839,66.203,1.586,0.414,0.955,0.813,chesterton
122,0,771,589,0,0,0,4,0,1.0,815,176,815,35,0,44,117,25,0,14,84,3.795,162.2,2.333,111.251,1.504,0.477,0.972,0.857,shakespeare
123,0,455,350,0,0,1,0,0,1.5,472,105,472,17,0,17,76,24,1,8,50,3.676,93.6,2.513,83.614,1.522,0.476,0.952,0.841,austen
124,1,221,167,0,0,1,0,0,0.5,242,52,242,12,0,21,32,23,1,7,37,3.885,47.6,2.455,50.083,1.209,0.712,0.904,0.914,chesterton
125,0,246,189,0,0,0,0,0,1.0,263,57,263,11,0,17,39,23,0,4,36,3.807,51.8,2.065,65.005,1.267,0.632,0.912,0.886,shakespeare
126,0,456,361,1,0,1,0,0,3.0,468,92,468,15,0,12,54,24,1,6,54,4.239,92.8,2.608,45.301,1.333,0.587,0.946,0.882,chesterton
127,1,847,686,0,0,0,0,0,1.0,864,156,864,16,0,17,87,26,0,6,81,4.609,172.0,2.774,48.888,1.458,0.519,0.968,0.87,chesterton
128,0,387,297,0,0,0,0,0,0.3333333333333333,396,91,396,12,0,9,67,23,0,9,53,3.505,78.4,1.98,39.125,1.319,0.582,0.945,0.88,austen
129,0,516,381,0,0,4,2,0,2.0,527,126,527,27,0,11,94,24,0,13,44,3.397,104.6,2.09,43.992,1.75,0.349,0.96,0.782,chesterton
130,0,1199,956,0,0,0,0,0,0.16666666666666666,1229,244,1229,26,0,30,161,25,2,4,85,4.148,245.0,2.366,214.657,1.891,0.348,0.98,0.808,austen
131,0,448,338,0,0,2,0,0,2.0,457,107,457,19,0,9,84,24,0,7,53,3.458,90.6,2.186,55.071,1.408,0.495,0.953,0.85,austen
132,0,90,65,0,0,0,0,0,1.0,98,26,98,6,2,8,20,20,2,4,14,3.115,18.8,2.487,17.167,1.3,0.538,0.808,0.81,shakespeare
133,0,255,193,0,0,2,1,1,1.0,260,57,260,12,0,5,43,23,0,7,38,3.754,51.2,2.452,44.398,1.188,0.667,0.912,0.9,austen
134,0,227,165,0,0,3,1,1,1.0,235,56,235,20,0,8,44,21,3,14,25,3.571,46.2,2.872,46.768,1.474,0.446,0.911,0.8,chesterton
135,2,516,397,0,0,0,0,1,0.25,537,114,537,20,0,21,82,24,2,10,52,3.851,106.6,2.362,81.91,1.462,0.456,0.956,0.834,austen
136,0,142,100,0,0,0,0,3,1.0,149,36,149,11,0,7,28,22,0,6,25,3.306,29.0,2.573,26.542,1.2,0.694,0.861,0.898,austen
137,0,548,434,0,0,1,0,2,1.0,553,110,553,19,0,5,64,24,0,4,60,4.191,109.8,2.375,71.426,1.41,0.545,0.955,0.871,chesterton
138,0,435,330,0,0,3,2,0,2.0,446,95,446,24,0,11,66,25,1,16,47,3.926,88.4,2.494,64.814,1.357,0.495,0.947,0.845,austen
139,0,280,209,0,0,0,0,0,0.5,300,71,300,12,0,20,54,21,0,8,38,3.394,59.2,2.101,39.468,1.34,0.535,0.93,0.853,shakespeare
140,2,1429,1123,0,0,0,2,0,0.4,1454,293,1454,51,0,25,197,26,0,9,103,4.092,290.0,2.566,257.911,1.94,0.352,0.983,0.816,austen
141,0,91,67,0,0,0,1,0,1.0,96,24,96,5,0,5,17,20,1,5,22,3.208,18.4,1.744,19.832,1.043,0.917,0.792,0.973,shakespeare
142,0,317,241,0,0,0,0,1,0.3333333333333333,329,77,329,11,0,12,60,24,0,2,35,3.429,65.0,2.022,42.113,1.453,0.455,0.935,0.818,austen
143,0,959,771,0,0,0,0,0,7.0,973,184,973,21,0,14,108,24,0,3,93,4.38,193.8,2.462,86.427,1.521,0.505,0.973,0.869,chesterton
144,0,197,143,0,0,0,0,0,1.0,214,52,214,12,0,17,39,23,0,7,34,3.308,42.0,2.034,76.701,1.268,0.654,0.904,0.892,shakespeare
145,0,655,509,0,0,0,0,0,8.0,663,145,663,16,0,8,104,25,1,3,76,3.676,131.8,2.058,69.926,1.436,0.524,0.966,0.87,chesterton
146,0,804,639,0,0,0,0,0,1.25,812,165,812,16,0,8,111,25,0,2,75,4.018,161.6,2.553,131.356,1.557,0.455,0.97,0.846,austen
147,0,212,164,0,0,0,0,1,1.0,217,45,217,9,0,5,29,23,0,6,32,4.0,42.6,2.86,13.831,1.216,0.711,0.889,0.91,austen
148,0,577,456,0,1,0,0,0,6.0,585,119,585,20,0,8,70,24,3,3,60,4.067,116.2,2.497,64.917,1.506,0.504,0.958,0.857,chesterton
149,0,234,170,0,0,3,1,0,3.0,240,56,240,15,0,6,43,25,0,8,29,3.518,47.2,2.199,52.088,1.302,0.518,0.911,0.837,chesterton
150,0,1175,926,0,0,1,0,0,2.0,1187,247,1187,36,0,12,169,27,1,4,111,3.951,236.6,2.519,116.242,1.739,0.449,0.98,0.855,austen
151,0,621,483,0,0,1,0,1,1.0,629,128,629,24,0,8,87,24,0,10,71,4.047,125.0,2.78,77.965,1.391,0.555,0.961,0.879,austen
152,0,134,97,0,0,0,0,0,1.0,145,36,145,7,0,11,29,21,1,2,25,3.194,28.2,2.202,25.183,1.2,0.694,0.861,0.898,shakespeare
153,0,798,626,0,0,1,0,0,1.5,815,169,815,22,0,17,111,24,0,7,84,3.953,162.2,2.246,151.158,1.536,0.497,0.97,0.864,austen
154,0,276,201,0,0,2,1,0,1.0,285,71,285,16,0,9,59,26,0,11,38,3.254,56.2,1.976,38.363,1.365,0.535,0.93,0.853,austen
155,0,610,462,0,0,1,0,1,1.0,630,144,630,25,0,20,107,25,1,14,62,3.542,125.2,2.218,122.404,1.6,0.431,0.965,0.83,austen
156,0,640,500,0,1,1,0,1,0.5,647,136,647,20,0,7,93,24,0,7,73,3.897,128.6,2.483,75.972,1.417,0.537,0.963,0.873,austen
157,0,449,355,0,0,0,0,0,0.8,454,95,454,11,0,5,71,22,0,1,39,3.905,90.0,2.45,65.479,1.638,0.411,0.947,0.804,austen
158,0,412,313,0,0,3,0,3,3.0,423,91,423,22,0,11,62,24,0,10,53,3.879,83.8,2.56,77.477,1.338,0.582,0.945,0.88,austen
